Group,biomass,Production,Consumption,pb,qb
Algae,1928,98521,0,51.1001037344398,0
Zooplankton,181,5723,0,31.6187845303867,0
Smelt,66.1,129.8,1298,1.96369137670197,19.6369137670197
Ruffe,9.3,8.9,0,0.956989247311828,0
Roach,15,9,0,0.6,0
Bream,9.5,3.1,0,0.326315789473684,0
Nonpiscivorous eel,9.6,2.9,0,0.302083333333333,0
Piscivorous eel,2.4,0.7,3.5,0.291666666666667,1.45833333333333
Nonpiscivorous perch,2.5,5.3,52.7,2.12,21.08
Piscivorous perch,14.6,13.9,67.6,0.952054794520548,4.63013698630137
Pikeperch,2,2,10.2,1,5.1
Herring gull,0.0165,0,15,0,909.090909090909
Black-headed gull,0.0715,0,10.1,0,141.258741258741
Greater black-,0,0,0,0,0
backed gull,0.0071,0,0.4,0,56.3380281690141
Little gull,0.001,0,0.2,0,200
Common gull,0.0019,0,0.2,0,105.263157894737
Common tern,0.0041,0,0.7,0,170.731707317073
Black tern,0.0053,0,11,0,2075.47169811321
Great-crested grebe,0.0618,0,5.7,0,92.2330097087379
Goosander,0.0651,0,5.6,0,86.0215053763441
Red-breasted,0,0,0,0,0
merganser,0.0113,0,11,0,973.451327433628
Smew,0.0084,0,1,0,119.047619047619
Cormorant,0.2918,0,20.7,0,70.938999314599
Fishery,0,23.2,0,0,0
