Group name,TL,biomass,pb,qb,ee,P/Q,R/A,P/R,FD,NE,OI
Masu salmon,4.12,22.7,0.54,3.84,0.98,0.14,0.82,0.21,0.02,0.18,0.04
Adult sockeye salmon,3.75,45.5,0.33,4.73,0.98,0.07,0.91,0.1,0.04,0.09,0.25
Juvenile sockeye salmon,3.16,14.1,1.72,10.12,0.95,0.17,0.79,0.27,0.03,0.21,0.05
Japanese smelt,3.17,303,1.24,11.26,0.96,0.11,0.86,0.16,0.7,0.14,0.06
Other fishes,3.07,5.8,1.5,10,0.8,0.15,0.81,0.23,0.01,0.19,0.07
Shrimp,2.27,5.9,1.83,24.4,0.8,0.08,0.91,0.1,0.03,0.09,0.21
Amphipods,2.32,136,6,33,0.95,0.18,0.77,0.29,0.94,0.23,0.23
Insects,2.11,110,4.2,30,0.95,0.14,0.83,0.21,0.69,0.18,0.11
Zooplankton,2.05,162,33.5,140,0.95,0.24,0.7,0.43,4.8,0.3,0.05
Phytoplankton,1,50.2,365,0,0.95,0,0,0,0.92,0,0
Organic Materials,1,2000,0,0,0.819,0,0,0,0.9,0,0
Detritus,1,1000,0,0,0.689,0,0,0,0,0,0.35
