Predator,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Catfish,0,4.2,2.3,40.89,20,0,17.1,2.8,2.57,0,0.14,0,4,6
Juv. Catfisha,0,0,0,0,71.6,10,0,0,9.2,0.51,1.09,0,5.4,2.2
Large Labeobarbusb,0,0,0,0,20,9,0,0,60,1.5,2,0.8,6.7,0
Tilapiac,0,0,0,0,0,0,0,0,0,0,2,96,0,2
Juv Tilapiad,0,0,0,0,0,0,0,0,40,7,13,40,0,0
Aplocheilichtsc,0,0,0,0,0,0,0,0,20,40,30,10,0,0
Small Barbusf,0,0,0,0,0,0,0,0,35,40,20,5,0,0
Garrae,0,0,0,0,0,0,0,0,80,7,8,0,0,5
Zoobenthosg,0,0,0,0,0,0,0,0,10,10,10,3,8,59
Carni. Zoopl.h,0,0,0,0,0,0,0,0,10,0,68,12,0,10
Herbi. Zoopl.h,0,0,0,0,0,0,0,0,0,0,0,90,3,7
