Group,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Lates niloticus ,1,0,0,0,0,0,0,,0,0,0,0,0,0,0
Medium predators,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Small predators,5,10,1,0,0,0,0,0,0,0,0,0,0,0,0
Alestes macrolepidotus ,5,5,20,0,0,0,0,0,0,0,0,0,0,0,0
Benthivores,10,5,10,0,0,0,0,0,0,0,0,0,0,0,0
Detritivores,10,10,5,0,0,0,0,0,0,0,0,0,0,0,0
Zooplanktivores,10,24,20,0,0,0,0,0,0,0,0,0,0,0,0
Sarotherodon galilaeus ,35,10,10,0,0,0,0,0,0,0,0,0,0,0,0
Shrimps,4,25,5,2.5,3,0,0,0,0,0,0,0,0,0,0
Benthic invertebrates,0,5,5,2.5,70,5,0,0,0,1,10,0,0,0,0
Insects,0,5,24,20,2,3,0,0,0,1,15,0,0,0,0
Zooplankton,0,0,0,0,1,1,70,1,10,1,19,5,0,0,0
Phytoplankton,0,0,0,0,1,1,15,84,1,1,1,84,0,0,0
Macrophytes,0,0,0,70,20,5,5,10,1,1,25,1,0,0,0
Detritus,0,0,0,80,3,85,10,5,88,95,30,10,0,0,0
