Code,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
CulT,0.082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ComC,0.012,0.05,0.057,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0
TraF,0.6,0.5,0.631,0.412,0,0,0,0,0,0,0,0,0,0,0,0,0
GraC,0.03,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FilC,0.05,0.03,0.008,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MegA,0.106,0.05,0,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0
Crab,0,0,0,0.071,0,0,0,0,0,0,0,0,0,0,0,0,0
Shri,0.12,0.35,0.212,0.071,0,0,0,0,0,0,0,0,0,0,0,0,0
Bent,0,0,0.092,0.243,0.038,0.225,0.16,0,0,0,0.2,0.133,0,0,0,0,0
Moll,0,0,0,0.05,0.656,0.25,0.43,0,0,0.08,0.15,0,0,0,0,0,0
Cope,0,0,0,0,0,0.005,0,0.04,0,0.009,0,0.133,0,0,0,0,0
Clad,0,0,0,0,0,0.005,0,0.01,0,0.009,0,0.15,0,0,0,0,0
Roti,0,0,0,0,0,0.005,0.03,0.05,0.25,0,0.05,0.05,0,0,0.016,0.016,0
Phyt,0,0,0,0,0.152,0.3,0.02,0,0.25,0.061,0,0,0.02,0.2,0.474,0.474,0.333
Peri,0,0,0,0,0,0,0,0.1,0.2,0.245,0,0.167,0.18,0,0,0,0
Macp,0,0,0,0.001,0.154,0.21,0,0.6,0,0.35,0.15,0,0,0,0,0,0
Detr,0,0,0,0,0,0,0.36,0.2,0.3,0.24,0.45,0.367,0.8,0.8,0.51,0.51,0.667
