Consumer,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Fish-eating birds,6,9,0,0,1,0,0,76,8,0,0,0,0,0
B. docmac,5,5,0,0.5,0.5,4,20,3,1,5,50,0,2,13
C. gariepinus,0,5,0,1,0.5,5,10,3,5,5,48.5,1,5,20
P. aethiopicus,5,5,0,5,0.5,3,10,2,0,5,60,2,5,11
H. squamipinnis,0,0,0,0,2,16,50,6,1,10,10,0,0,5
H. angustifrons,0,0,0,0,0,0,0,0,0,10,50,10,10,20
H. nigripinnis,0,0,0,0,0,0,0,0,0,2,0,90,3,5
O. niloticus,0,0,0,0,0,0,0,0,0,2,0,90,4,4
O. leucostictus,0,0,0,0,0,0,0,0,0,1,0,80,5,14
Zooplankton,0,0,0,0,0,0,0,0,0,5,0,95,0,0
Zoobenthos,0,0,0,0,0,0,0,0,0,10,5,5,30,50
