Group name,1a,2b,3c,4d,5e,6b,7f,8g,9h,10i,11j,12k
Clarias spp.,0,0,0,0,0,0,0,0,0,0,0,0
Raiamas moorei,0.005,0,0.02,0,0,0,0,0,0,0,0,0
Haplochromis vittatus,0.015,0.02,0,0,0,0,0,0,0,0,0,0
Haplochromis benthivores,0.12,0.15,0.2,0,0,0,0,0.03,0,0,0,0
Haplochromis planktivores,0.09,0.1,0.08,0,0,0,0,0.05,0,0,0,0
L. miodon adult,0.02,0,0.025,0,0,0,0,0,0,0,0,0
L. miodon juvenile,0.1,0.25,0.1,0,0,0.05,0,0,0,0,0,0
Barbus spp.,0.01,0,0.01,0,0,0,0,0,0,0,0,0
O. niloticus eduardianus,0.1,0,0.05,0,0,0,0,0,0,0,0,0
Other Tilapiine fish,0.03,0,0.025,0,0,0,0,0,0,0,0,0
Benthic fauna,0.4,0.46,0.27,0.78,0.03,0.2,0.05,0.57,0,0.1,0,0
Zooplankton,0.04,0.01,0.15,0.12,0.15,0.65,0.7,0.1,0,0.05,0.3,0.05
Phytoplankton,0.02,0.01,0.02,0.01,0.8,0.09,0.23,0.05,0.8,0.65,0.3,0.85
Detritus,0.05,0,0.05,0.09,0.02,0.01,0.02,0.2,0.2,0.2,0.4,0.1
