Group,1,2,3,4,5,6,7,8,9
Masu salmon,0,0,0,0,0,0,0,0,0
Adult sockeye salmon,0,0,0,0,0,0,0,0,0
Juvenile sockeye salmon,0.1,0.07,0,0,0,0,0,0,0
Japanese smelt,0.84,0.5,0.04,0.05,0,0,0,0,0
Other fishes,0.02,0.02,0,0,0,0,0,0,0
Shrimp,0,0,0,0,0.15,0,0,0,0
Amphipods,0.01,0.11,0.18,0.21,0.1,0,0,0,0
Insects,0.02,0.19,0.3,0.05,0.2,0.05,0,0.05,0
Zooplankton,0.01,0.11,0.48,0.69,0.5,0.2,0.3,0.05,0.05
Phytoplankton,0,0,0,0,0.01,0.1,0.05,0.05,0.75
Organic matter,0,0,0,0,0,0,0.15,0.35,0.1
Detritus,0,0,0,0,0.04,0.65,0.5,0.5,0.1
