,1,2,3,4,5,6,7,8,9,10,11,12,13,Phytoplankton,Benthic producers,Detritus
Nile Perch,1,8,2,2,3.5,1,25,2,1,1,1,1,2,0,0,0
Catfishes,0,5,2,2,5,5,15,2,0,0.5,3,5,50,0,0,1
Lungfish,0,2,2,2,1,2,2,2,0,2,5,10,60,0,5,5
Snoutfishes,0,1,1,1,0.8,5,3,3,0,4,5,70,0,0,10,5
Predatory dwarf breams,0,0,0,0,1,12,1.8,45,0,0,5,5,5,0,0,0
Planktivorous dwarf breams,0,0,0,0,0,0,0,0,0,0,2.0 ,0,2,50,25,21
Benthivorous dwarf breams,0,0,0,0,0,0,0,0,0,0,20,10,60,0,8,2
Dagaa,0,0,0,0,0,0,0,0,0,0,45,5,5,35,5,5
Nile tilapia,0,0,0,0,0,0,0,0,0,0,2,3,0,85,5,5
Other tilapiines,0,0,0,0,0,0,0,0,0,0,3,2,0,45,30,20
Zooplankton,0,0,0,0,0,0,0,0,0,0,5.0 ,0,0,95,0,0
Lake prawn,0,0,0,0,0,0,0,0,0,0,40.0 ,0,5,10,25,20
Macrozoobenthos,0,0,0,0,0,0,0,0,0,0,10,5,10,5,45,29
